text,target
What are the income guidelines for LIHEAP/OEAP assistance in Clackamas Marion Multnomah Polk Washington and Yamhill counties?,"The income guidelines for LIHEAP/OEAP assistance in the specified counties are as follows:

1 person: $2785.58 (monthly income in the last 30 days)
2 people: $3642.67
3 people: $4499.75
4 people: $5356.83
5 people: $6213.92
6 people: $7071.00
7 people: $7231.75
8 people: $7392.42
9 people: $7553.17
10 people: $7713.83
11 people: $7874.50
12 people: $8035.25
Each additional member: Add $160.75 to the monthly income limit."
What should be considered regarding funding availability and program selection for assistance?,Funding is limited and meeting income guidelines does not guarantee assistance due to high demand. Agencies determine program eligibility based on individual circumstances so applicants do not need to specify a particular program when seeking assistance.
Where to apply for LIHEAP/OEAP assistance?,Individuals should call the agency listed for their county to inquire about assistance distribution. For additional resources contact 211info by phone at 211 text your zip code to 898211 or visit their website to download the free app. Low-income Oregon households can apply for reduced monthly costs through the Oregon Public Utility Commission's Lifeline program to help with phone or internet bills.
What is the Oregon Energy Fund and how is it funded?,The Oregon Energy Fund is a private 501(c)(3) nonprofit that assists customers struggling to pay winter utility bills through one-time grants distributed by community nonprofit organizations.
What resources does PGE offer to help customers with their utility bills?,If you are eligible for the Income-Qualified Bill Discount you can receive ongoing monthly assistance and other aid from PGE or other agencies. If you are struggling to pay your PGE bill you can set up a Time Payment Arrangement which allows you to pay off your bill over an extended period. If you need more time to pay your bill you can request a payment extension 24/7 online or by calling PGE's automated phone system. Additionally you can request to change your bill due date online or by calling PGE which will take effect after a complete billing cycle.
What additional assistance programs are available related to weatherization and energy efficiency?,If you meet the income guidelines for bill-payment assistance you may also be eligible for free residential weatherization programs. If you earn too much to qualify for weatherization assistance you may be able to participate in the Savings Within Reach program from Energy Trust of Oregon. This program offers special incentives to help moderate-income homeowners make energy efficiency improvements.
How can customers learn to use less energy through PGE's Energy Savings section?,Customers can explore PGE's Energy Savings section to discover no-cost and low-cost changes they can implement to reduce energy usage. URL: https://portlandgeneral.com/save-money/save-money-home
What free online tool does PGE offer for renters and homeowners to manage their electricity usage?,PGE provides a free online tool that allows renters and homeowners to track their energy analyze their bills and receive a custom savings plan based on their energy consumption patterns. URL: https://portlandgeneral.com/save-money/save-money-home/energy-tracker-home
How can customers contact PGE for assistance with their bills and what options are available for requesting more time to pay?,Customers can call PGE at 503-228-6322 or 800-542-8818 to speak with a customer service advisor from 7 a.m. to 7 p.m. Monday through Friday. Support is available in over 200 languages. To request more time to pay their bill customers can pay their bill online (method not specified).
How do I know if I qualify for income-qualified bill discount?,Enrollment is available to qualifying residential PGE customers. Eligibility is based on your household size and the average annual gross income for all members of your household 18 years and older combined. Gross income means your income before taxes. If you've received energy assistance in the past it’s likely you qualify.
How to calculate your annual household income?,"For hourly workers take your hourly wage and multiply that by the average hours worked weekly. Then multiply that number by 52 (weeks per year) to get your annual gross income (before taxes).

Example: 

$13.50 (hourly rate) x 40 (average hours worked per week) = $540

$540 x 52 (weeks per year) = $28080 (This is your annual gross income)

In case your household income changes from month to month take your combined income from the last month and multiply it by 12 to calculate your average gross annual household income.

If you have any questions about calculating your income requirements of the program or need help applying give us a call at 503-228-6322. We're here to help. "
What does PGE do with my income and household information?,Your information is protected. We only use your income and household information to verify that you're eligible for the program.
Will being on the Income-Qualified Bill Discount impact my ability to receive energy assistance?,No. The programs are separate and receiving energy assistance does not impact your ability to enroll in PGE’s bill discount. Once enrolled in the discount program you're still able to apply for and receive energy assistance.
What should i expect after signing up for the income-qualified bill discount?,"Once you submit the form online or call us to enroll we’ll review your information to see whether you qualify for the program. Please allow 30 days for your application to be processed. 

Once you're approved we will send you a notification email or letter to confirm your enrollment and the percentage of discount you will receive.

On an annual basis we will ask a small percentage of customers enrolled to provide proof of household size and income to ensure customers are eligible. "
If i qualify for income-qualified bill discount what else should I know about the program?,"Once enrolled the monthly discount will last for two years. You will need to re-enroll after two years but we'll send you a reminder in advance. The discount only applies to new charges billed after enrollment. The discount does not apply to charges billed prior to enrollment.

The discount may not apply to the next bill you receive but the following bill after that and you'll see it reflected on your bill.

This discount does not apply to your total monthly amount due. Certain charges are not included in the discount."
What is included and not included on my income-qualified discount monthly bill? ,"The discount applies to “Energy Charges” as well as “Adjusting Schedules” charges on your bill unless on the excluded list below.

Charges excluded from the discount:

Green Future Choice

Green Future Solar

Green Future Fixed

Green Future Habitat

Solar Customer Charge (Solar Payment Option)

Schedule 300 - Meter Rental Charge and Non-Network Meter Read

Schedule 109 – Energy Efficiency Funding Adjustment

Schedule 115 – Low Income Assistance

“Other Charges/Credits” and “Taxes and Fees”. While the discount does not directly apply to these specific charges on your bill the amount due for them will still be lower."
What will happen to my income-qualified discount if my household size or income changes?,If your household size or income changes you’ll need to submit a new form online or call us at  with your updated information.
Does receiving a utility allowance impact my ability to enroll in the income-qualified discount?,Receiving a utility allowance does not impact your ability to enroll in the program. If you have questions about how the Income-Qualified Bill Discount may impact your utility allowance please contact the agency providing the utility allowance.
Does inability to pay my bill and power disconnection affect my income-qualified discount? ,A disconnection does not impact your participation in this program. You'll still be enrolled. We understand sometimes it can be difficult to pay your energy bills. We're here to help. Give us a call at  to talk through your options. 
What will happen to my income-qualified discount If I don't have any income but I'm waiting to start a new job in the next 30 days?,You’ll find what’s considered income and what’s not . If you don't have any additional income you can mark your current income as $0. When your income changes (e.g. start a new job) please fill out a new form or give us a call at 503-228-6322 to update your information.
What if I have technical issues with my thermostat or need more information?,For any technical issues or further information about your specific thermostat model please call the customer service number for your thermostat brand. Here are some contacts:  ecobee: 877-932-6233 Emerson: 888-605-7131 Honeywell Home: 800-633-3991 Nest: 855-469-6378
Can I participate in both the Smart Thermostat and Peak Time Rebates programs?,You can only be enrolled in one program at a time but you're welcome to switch from Peak Time Rebates to the Smart Thermostat program if you qualify. We'll take care of unenrolling you from the previous program automatically.
When will I receive my seasonal participation rewards?,Seasonal rewards are applied as a credit to your electric bill the month after the season ends. For the winter season which runs from December through February participants who qualify for a reward should receive it on their March bill. Similarly for the summer season that runs from June through September qualifying participants will see their credit on their October bill. If there's any issue with your reward or if you have any questions give us a call at  or email us at 503-228-6322 or email us at thermostats@pgn.com
What are the incentives for participating in the Smart Thermostat Program?,"When you enroll through the PGE Marketplace you'll receive a $25 bill credit for joining and another $25 for each season you participate in 50% or more of the eligible event hours. If you buy a thermostat through our rebate program similar credits apply. Remember these rewards are our way of thanking you for helping manage energy usage and supporting Oregon’s clean energy future. This is the link to the PGE's Smart Thermostat program: https://portlandgeneral.com/smart-thermostat-program-direct-install-how-it-works
"
Can I opt out of a Peak Time Event?,Absolutely! You're always in control. If you need to opt out of an event for any reason simply adjust your thermostat during the event as needed. To maximize your rewards try to participate in at least 50% of the event hours across the season. For tips on staying cool in the summer and warm in the winter check out our seasonal energy-saving tips. Link: https://portlandgeneral.com/save-money/save-money-home/no-cost-and-low-cost-tips
How will I know when a Peak Time Event is happening?,You'll receive email notifications from PGE and see alerts on your thermostat or smartphone app. These notifications ensure you're fully informed before and during the event.
What do I need to do during a Peak Time Event?,Your thermostat will pre-heat or pre-cool your home before the event when the demand for energy is lower. This means you'll stay comfortable even when the thermostat adjusts during the event. If you prefer not to participate you can manually adjust your settings at any time during the event.
How often do Peak Time Events occur?,Typically there are about 8 to 9 events each summer and 5 to 6 in the winter. We avoid scheduling these on holidays to ensure your comfort during those special times. Summer events usually occur between 3 PM and 8 PM while in winter they’re likely to be between 6 AM and 10 AM or 3 PM and 8 PM.
What happens during a Peak Time Event in the Smart Thermostat Program?,During Peak Time Events which occur on days with high energy demand your smart thermostat will automatically adjust by 1 to 3 degrees from your normal settings to help manage the energy load. These adjustments are pre-programmed to ensure your comfort and are usually brief lasting between 1 to 4 hours. You don't need to do anything; your thermostat handles everything and it'll return to your regular settings once the event ends.
What is the Smart Thermostat Program?,The Smart Thermostat Program is a fantastic way to manage your energy use efficiently. By enrolling your thermostat will automatically shift some of your energy use away from peak times when energy demand is high known as Peak Time Events. These events occur typically 8 to 9 times each summer and 5 to 6 times each winter lasting between 1 to 4 hours. During these events your thermostat automatically adjusts by a few degrees. This subtle adjustment helps you save on your energy bills supports more sustainable energy use and keeps the energy grid reliable. You'll earn up to $25 for signing up plus an additional $25 on your PGE bill each summer and winter season you participate. Best of all you're always in control of your comfort and can override the thermostat’s settings if you prefer a different temperature.
How can I ensure I am buying the right smart thermostat for this program?,Visit the PGE Marketplace where you can shop and compare different smart thermostats. Choose one that best fits your home’s needs and ensures compatibility with the Smart Thermostat Program. https://pgemarketplace.com/thermostats-and-temperature/
What are the ongoing earnings for participating in the program?,For your commitment to helping manage peak energy use you earn a $25 credit for each summer and winter season you participate fully in the program. It’s our way of thanking you for playing a part in Oregon’s sustainable energy future.
What if I want to change the temperature during a Peak Time Event?,You have full control over your thermostat settings at all times. If the temperature adjustment during a Peak Time Event doesn't suit you you can manually override it. Remember participating in these events not only contributes to energy savings but also earns you rewards.
How do I enroll in the Smart Thermostat Program?,Enrolling is simple! If you have central air conditioning a ducted heat pump or an electric forced-air furnace and a smart thermostat you're eligible. Just select your thermostat model on our website and follow the links to enroll. If you need to purchase a smart thermostat you can earn an instant rebate through the PGE Marketplace.
What are the benefits of enrolling in the Smart Thermostat Program?,Upon enrolling you'll receive a $25 bonus. Additionally for each summer and winter season that you participate in at least half of the Peak Time Event hours you earn another $25. This is a great way to reduce your energy bill while contributing to a cleaner energy future.
What are Peak Time Rebates?,When energy demand and prices are high you'll have the option to reduce your energy use during the Peak Time Event which is typically 3 to 4 hours. When you reduce your energy use you can earn a rebate on your next bill. Plus shifting your energy away from peak times makes a difference. You're supporting the use of more sustainable energy resources and helping to keep energy more reliable. It’s a win-win-WIN!
When are Peak Time Events called?,Peak Time Events can be called in the morning between 7 am 11 a.m. and in the late afternoon between 3 and 8 p.m. In the winter you might notice more morning events. During the summer season Peak Time Events will most commonly occur in the late afternoon. The events can be two to five hours in length but most often last for three hours. You'll receive a notification the day before the event with the specific times it will occur.
Do I need to provide PGE with an email or mobile to participate in Peak Time Rebates?,Yes. To be enrolled in Peak Time Rebates you need to provide PGE with either an email address and/or a mobile phone number to receive Peak Time Event notifications. You can choose to receive notifications by email text or both - it's up to you. You must maintain at least one notification channel in order to remain enrolled. For example if you provide only a mobile phone number and reply STOP to text notifications you'll be unenrolled from Peak Time Rebates. You can update your notification preferences on the Peak Time Rebates webpage or call PGE Customer Service at 800-542-8818.
How are Peak Time Rebates calculated?,"Your energy use baseline is calculated from your average use over the past 10 similar days during the same hours as the Peak Time Event. You earn $1 per kilowatt hour (kWh) when you reduce below your baseline during a Peak Time Event. 

The calculation in four steps:

Step 1: PGE looks at the 10 most recent days that are similar in type (weekday or weekend). . Holidays or any previous Peak Time Event days are not considered similar days and are not included in establishing the 10-day baseline period.

Step 2: Using the selected 10 days for your baseline period PGE identifies your home’s average use during the same hours as the Peak Time Event.So if the upcoming Peak Time Event is from 4:00 – 7:00 p.m. PGE will determine your home’s average use during the hours of 4:00 -7:00 p.m.

Step 3: Because the weather on the Peak Time Event day may not be exactly the same as the 10 days selected for the baseline period PGE applies an adjustment for the difference in temperature for some customers if your historical usage indicates a significant difference in electrical use when the temperature changes. For example you may have higher use in summer because of air conditioning or in the winter due to electric heating. This will determine your home’s energy usage baseline or “Typical Use.”

Step 4: We subtract the total kilowatt hours you use during the Peak Time Event or “Actual Event Use” from your “Typical Use” as shown in the calculation below. If your energy use during the event is less than your Typical Use you earn a rebate at a rate of $1.00 per kilowatt hour.


Customer rebate baseline and rebate calculation:

(Typical Use + Weather Adjustment) – Actual Event Use = kWh Savings

kWh Savings x $1.00 = Rebate

Example with Peak Time Event data and rebate:

(3.67 kWh + 1.1 kWh) – 2.21 kWh = 2.56 kWh

2.56 kWh x $1.00/kWh = $2.56 (Rebate amount that would appear on your bill)"
How will I know if I earned a rebate after a Peak Time Event?,When you enroll in the program you have the choice to be notified by email and/or text. After each Peak Time Event you will receive a message one to three days later to let you know if you earned a rebate and for how much. If you earned a rebate this amount will appear as a credit on your next bill.
What if I don't participate in a Peak Time Event?,Your participation is completely voluntary. Once you’re enrolled you're eligible for a bill credit during any event where you successfully reduce your energy use. If you aren't able to save energy during an event you'll still be enrolled and have other opportunities to participate in the future. Your health and safety should always come first so please consider any health impacts when reducing your energy use.
I did my best to shift my energy use but didn't receive a rebate. How come?,If you're a customer who doesn't use much electricity on a daily basis it may be more difficult to reduce your use during Peak Time Events. Turning off lights or waiting to charge your phone won't make much of an impact during a Peak Time Event. You can make the biggest impact by reducing the use of major appliances using less hot water and turning your thermostat down a few degrees if you have electric heat or air conditioning.
Where will Peak Time Rebates credits appear on my bill and how often?,Peak Time Rebates will appear in the “Additional Charges/Credits” area of your bill as “peak time credits.” Rebates should appear on the next bill you receive after the Peak Time Event.
Can I be enrolled in Peak Time Rebates as well as the PGE Smart Thermostat program?,Unfortunately no — you can't be in both programs at once. However if you have a smart thermostat you may want to consider joining the PGE Smart Thermostat program where you can earn $25 per season for participating. For more information go to portlandgeneral.com/thermostat.
How often do Peak Time Events typically occur during the summer and winter seasons?, Peak Time Events typically occur around 5-7 times in the summer and 3-5 times in the winter.
 Is there any cost associated with enrolling in Peak Time Rebates?,No there is no cost to enroll in Peak Time Rebates.
When is the Peak Time Rebates for summer season?,Peak Time Rebates summer season starts June 1 and ends September 30 2024.
Can you give me an overview of the program?,"1. Get notified
Once you're enrolled we'll send you a text or email the day before and the day of a Peak Time Event. We'll let you know when the event will start and stop and provide savings tips you can use to lower your use.

2. Shift use
During an event you can reduce your energy use with simple changes like waiting to wash dishes or do laundry and adjusting your temperature setting a few degrees.

3. Earn rebates
If you reduce your energy use during the Peak Time Event you can earn a rebate on your next bill."
What is on sale now at the PGE Marketplace?,Stack discounts and rebates for extra savings on energy-savings favorites for your home.This site is for PGE residential customershttps://pgemarketplace.com/on-sale/ 
Am I qualify from Federal tax credits from the INflation Reduction Act?,You may also qualify for federal tax credits or deductions from the Inflation Reduction Act of 2022 including credits for: Weatherization heat pumps home energy audits new or used electric vehicles solar panels battery storage and other renewable projects. Want to know more? Check out this handy calculator and guide from the non-profit group Rewiring America: https://homes.rewiringamerica.org/calculator. Just want a quick overview? See this summary from the Edison Electric Institute: https://www.eei.org/pages/consumer%20tax%20credits.
How can I charge my electric vehicle faster at home?,We can help with PGE+. PGE+ is your one-stop shop to get EV chargers and installation and sign up for rebates and bill credits available through our Smart Charging program(https://portlandgeneral.com/energy-choices/electric-vehicles-charging/charging-your-ev/charging-your-ev-at-home).
How can I save if I have a ducted heat pump or central A/C?,Get $25 off when you purchase through PGE Marketplace PGE and enroll in the Smart Thermostat program. If you already have a thermostat you can still get $25 when you enroll in the Smart Thermostat program.
How can I save if I have a heat pump water heaters?,For a limited time you can save even more on a heat pump water heater with the Energy Trust of Oregon and GP Conservation PGE. $500 instant discount from Energy Trust (depending on efficiency level). This offer is available at participating retailers for a limited time.
What is Energy Trust of Oregon?,Energy Trust of Oregon is a public-purpose organization dedicated to energy efficiency and renewable energy generation. Energy Trust programs are funded by a small percent charge on your electric bill. Visit Energy Trust PGE(https://www.energytrust.org/) for details applications and a list of trade ally contractors. 
How much information do you share with the Energy Trust?,At the direction of the Oregon Public Utility Commission PGE shares selected customer information with Energy Trust. This information is used for designing evaluating and improving Energy Trust services for energy efficiency and renewable energy systems and for marketing purposes. Visit https://portlandgeneral.com/data-share for more information on which customer's data is shared and what is not.
What incentives are available for heat pumps through PGE and the Energy Trust of Oregon?,"Customers can benefit from various incentives for heat pumps:
$1000+ rebates on ductless and ducted heat pumps
$250 rebate for heat pump controls
On-bill financing options for heat pump installations"
How does Energy Trust of Oregon collaborate with PGE?,PGE works closely with Energy Trust of Oregon PGE to help our customers earn money back by making their homes more energy efficient.
What disclaimer should customers be aware of regarding the information provided?,PGE does not administer or provide federal or state assistance to customers. PGE makes no warranty representation or undertaking express or implied as to the accuracy reliability or completeness of external information provided. Rebates incentives and tax credits vary based on the program and individuals’ own circumstances. The information provided is not intended and should not be relied on as legal tax or accounting advice. You should consult with your own legal tax and accounting advisors prior to taking any action based upon this information.
What is the Smart Battery pilot?,PGE launched its five-year Smart Battery pilot in 2020. Through this program PGE partners with residential customers with home battery storage systems. The program seeks to install and connect residential energy storage batteries that will contribute up to 9.5 megawatt hours of energy to our grid. Once installed these battery storage systems will help create a Virtual Power Plant (VPP) that is made up of residential battery systems that can be operated individually or combined to serve the grid adding flexibility that supports our transition to a cleaner energy future. In addition these home battery storage systems provide customers with a backup energy resource they can rely on in the event of a power outage.
Why is PGE doing this?,As we build a cleaner energy future and add more renewable power like wind and solar to our mix we’re developing energy storage so we can make the best use of these more intermittent resources. This is one of five projects that the OPUC (Oregon Public Utility Commission) approved to test different storage solutions to learn more about the most efficient and effective ways to store power and further modernize our grid.
How does the pilot work?,PGE will schedule times for your battery to be dispatched to provide energy at times of peak energy usage when prices are higher and electricity may be more carbon intensive. During these peak time events you always have the option to opt out and your batteries remain fully available to you during a power outage.
Will PGE discharge my battery during an outage?,No batteries are not dispatched during an outage event. All batteries remain fully available to customers during a power outage. PGE monitors weather conditions very closely and in the event that severe weather is predicted that may be more likely to cause outages your battery will not be dispatched for grid purposes. Preserving customer resilience from their battery investment is among our top priorities of this pilot.
How do I get a battery if I don't already have one?,"Contact an Energy Trust of Oregon solar trade ally for a bid on a battery storage system. Your battery may also qualify for the Solar + Storage rebate from the state of Oregon and a 30% federal tax credit. Your installer will guide you through the process of installing your battery system and connecting it to our grid. After your battery is installed you'll receive a link to connect your battery to PGE. That’s it! 









"
What does it mean to allow PGE to operate a residential energy storage battery?,Participating customers allow PGE to interact with and operate their batteries through cloud-based software. This software works as a load management system allows the dispatching of energy and offsets some stress from the grid during peak times. In a power outage the participating customer retains full battery usage as a power backup. They are always in control to opt-out or override any PGE event.
How is PGE working with Energy Trust of Oregon?,"PGE is partnering with the Energy Trust of Oregon to procure residential battery storage systems for eligible residential customers by leveraging their existing solar incentive program infrastructure and trade ally contract network.

An Energy Trust of Oregon solar trade ally can provide a bid on a new battery system. You can include solar if you’d like although it’s not required for this rebate."
What else does PGE hope to learn through this program?,"PGE will use the residential battery storage pilot to create a single resource that can help the grid balance energy production with energy demand freeing up the generation resources that are typically held on standby ready to kick in and accommodate significant fluctuation. This will allow generation resources that are typically fossil-fueled to do what they do most efficiently – generate energy.
The pilot will also allow PGE to test new smart-grid control devices across its distribution system that will more effectively allow a two-way exchange between PGE and pilot participants. The new controls will more actively manage the way that electricity is distributed across PGE’s system to incorporate energy that customers generate such as through solar panels while also meeting power demand that is less predictable such as for charging electric vehicles. The controls will allow PGE to more actively manage power distribution to improve power quality for all customers."
How often will PGE use my battery?,The pilot estimates the batteries will be dispatched about 15 times per year typically occurring during times of extreme heat or cold when there is more strain on the grid. Due to the experimental nature of the pilot PGE may also send signals for technical testing purposes. You are always in control and can opt out of any PGE dispatch.
Why should you consider joining our Smart Battery pilot?,PGE’s Smart Battery pilot studies the best ways to connect batteries at customer homes to PGE's grid. At times of peak energy usage (usually the hottest and coldest days of the year) we’ll charge or discharge your battery to either store or provide energy to the grid – about 10-15 times per year. Your batteries will remain fully available to you during a power outage or upon request and you're always in control of how much energy you wish to contribute.
Who qualifies for the Smart Battery pilot?,"If you have one of the battery systems listed below you can enroll in our Smart Battery pilot and earn bill credits of $1.70 per kWh for each Peak Time Event you participate in.

Tesla PGE
SolarEdge PGE
Enphase PGE
Generac PGE
FranklinWH PGE
Sonnen PGE
Duracell PGE
Eguana PGE"
What if I have a battery that's not on the qualifies list?,"You can use your current battery system as a great way to save on your bill when you participate in Peak Time Rebates.

Simply program your battery to provide some or all of the energy your home needs during a Peak Time Event."
What benefits can I get from a Smart Battery pilot program?,"Energy Trust of Oregon offers cash incentives for solar + battery storage and for batteries added to existing solar systems including higher incentives for income-qualified households. Your battery may also qualify for the Solar + Storage rebate from the state of Oregon and a 30% federal tax credit.
"
Why does my participation in this pilot matter?,"By adding your battery system to the grid you're part of a community that is creating a “virtual power plant” - one that lets us store and draws energy when needed. It’s an important step towards a clean energy future and a vital one as we add more renewables like wind and solar to the grid.

For example if our solar panels or wind turbines are generating more than usual we can store this extra clean energy in batteries and use it later to power your neighbors’ homes and businesses. That strengthens reliability and makes us better equipped to incorporate more low-cost renewable energy sources into the grid."
Which paths can I take to be a part of this pilot?,"You can choose the amount of kWh you wish to allow PGE to use of your battery during a scheduled Peak Time Event and earn bill credits of $1.70 per kWh per event. This gives you options when it comes to optimizing resilience based on your own comfort level. Each tier is based on a percentage of your battery’s total nameplate capacity.

No matter which tier you choose your battery system will remain fully available to you during a power outage. Preserving the resilience you receive from your battery system is among our top priorities."
How does the amount of bill credit vary based on the percentage of battery capacity shared during Peak Time Events?,The amount of bill credit received during each event depends on the actual amount of energy your battery provides during each Peak Time Event. This chart includes examples of potential bill credits a customer would receive sharing 80% of their capacity and participating in Peak Time Events.
How do I apply for a job at PGE?,To apply for a position at PGE you must submit your resume/application electronically for each job posting that interests you. You can also set up a Job Alert to be notified by email of new job opportunities that fit your criteria.  https://portlandgeneral.wd5.myworkdayjobs.com/pgn?_ga=2.121073672.1436396890.1714249558-1837110055.1714068769
What happens after I submit my application to PGE?,After applying you will receive an email confirmation from Workday. A PGE recruiter will then review applications and reach out to top candidates to schedule a 30-minute call to discuss your experience and motivation for the job change.
Are cover letters required when applying for a job at PGE?,Cover letters are not required but can be helpful especially if you're changing careers open to relocating or have details that aren't covered in your resume and application.
What can I expect during the initial phone screen with a PGE recruiter?,The phone screen will cover a high-level overview of your experience accomplishments and motivation for the job change. You'll learn about the role challenges and the team as well as discuss the total rewards package and salary expectations. This is also an opportunity to ask any important questions you have about the role or team.
What does the interview process at PGE involve?, If you're invited to interview it may be over video in person or both. You'll have strategic conversations with potential team members discussing technical skills and your domain expertise. You will also have time to ask the interview panel any questions.
Are assessments part of the PGE hiring process?,Assessments are role-specific and not required for all positions. However online assessments are required for Customer Service Advisor roles and Generation Plant Technicians.
What happens if PGE decides to give me an offer?, If PGE offers you a position they will provide a competitive offer and benefits package. They will hope for your acceptance as this could mark the beginning of a mutually beneficial career.
What are the pre-employment requirements at PGE?,As a federally regulated utility PGE requires a drug screen following federal guidelines within 48 hours of accepting an offer. Physical assessments are specific to roles with physical demands. Additionally criminal background checks employment and education verifications are conditions of employment.
Where do most new hires start their first day at PGE?,Most new hires begin their first day at the World Trade Center in downtown Portland. For roles in other locations within Oregon the first day will start at the respective work location. Orientation is a full-day experience where new hires receive all necessary tools to get started.
What is the interview process like at PGE?,If you're invited to interview we'll provide details about the interview panel the number of rounds and any other specifics you might need. Whether over video or in person you’ll dive deep into your technical skills and discuss how you can contribute to our team. Remember you're interviewing us too so feel free to ask your own questions—it's all about finding the right fit for both sides.
Why might my PGE bill show an estimated energy use charge?,Notice an adjustment on your bill. These must align your charges with current regulations or reflect cost changes. They ensure that your bill is up-to-date with recent legislative changes benefitting the community and your wallet. This is the link to each of the adjustments on your PGE bill:  https://assets.ctfassets.net/416ywc1laqmd/4k9XXpDhkkwCgZ7W8mQPXj/cf25c7012ec92ef26a9f9d45f8c6dccd/11300_Adjustments_Glossary_of_Terms_FNL_2-28-24.pdf
What should I do if I need help paying my PGE bill?,We understand that paying your energy bills can sometimes be challenging. If you're finding it tough please get in touch with us here: https://portlandgeneral.com/help/resources. We have several support options available and we're here to help you find a solution that fits your situation.
How can I reduce my energy use according to PGE?,"Please visit our Save Money page ( https://portlandgeneral.com/save-money ) for more energy-efficiency actions you can take at home and learn about PGE programs that reward you for participating. If you're a business customer we also offer a free energy savings checkup with one of our Energy Experts (https://portlandgeneral.com/free-energy-consultation). We're here to help you make your home or business as energy-efficient as possible optimizing your usage and costs. 
"
What does an adjustment on my PGE bill mean?,Adjustments on your bill account for the recovery of costs or provide credits related to regulatory initiatives and government regulations. They can represent costs for PGE or other organizations and may change periodically.
What is the fixed charge on my PGE bill for?,The fixed charge covers costs such as maintenance billing and customer service which are incurred regardless of the amount of energy used. This is a service availability charge that applies even if no electricity is used.
How is the electricity usage charge on my PGE bill calculated?,Your electricity usage charge depends on how much power you've used during the billing period. We multiply the kilowatt-hours you've used by your rate plan cost per kilowatt-hour. If you have Time of Use or Time of Day rates these charges will show separately to reflect different rates depending on when you use energy. For details on pricing plans follow this link: https://portlandgeneral.com/about/info/rates-and-regulatory/tariff
What happens if I make a late payment on my PGE bill?,We understand that sometimes life gets in the way of timely payments. If your payment is late a small fee may be added. If you're having trouble please get in touch with us; we're here to help you work through any financial hurdles.
What is the Public Purpose charge on my PGE bill?,The Public Purpose charge on your bill funds vital initiatives like renewable energy projects and energy efficiency programs in schools and low-income areas. It's a small but significant way we support our community and help ensure everyone benefits from cleaner more efficient energy solutions. More details: https://www.energytrust.org/ 
What are the transmission and distribution charges on my PGE bill?,These charges cover the power delivery costs including maintaining utility poles lines substations and other equipment and restoring power after outages.
How can I get assistance in a language other than English for my PGE bill?,We're here for all our customers. Our customer service team can assist you in over 200 languages ensuring you get the help you need in the language you're most comfortable with.
What options do I have if I need more time to pay my PGE bill?,If you need a bit more time to pay your bill we understand and are here to help. You can easily set up payment arrangements online to find a schedule that works better for you. For personalized assistance you can call PGE to speak to a customer service advisor 503-228-6322 (or 800-540-8818) from 7 a.m. to 7 p.m. Monday through Friday. They can provide support in over 200 languages to cater to various customer needs.
